TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,1,36,0,70.0,0,81.0,1.0,5112.21,0
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,6
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,5
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,5
13.45,0,1,2,45.0,3,198.0,1.0,7429.4,2
92.15,1,28,0,18.0,3,172.0,1.0,781.68,5
7.08,0,39,0,37.0,0,139.0,1.0,13316.71,6
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,1
106.23,0,11,1,51.0,1,86.0,1.0,9095.14,6
815.96,1,26,0,55.0,0,120.0,1.0,1021.88,0
17.78,0,0,2,52.0,1,59.0,1.0,7599.52,2
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,5
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,5
781.76,1,22,0,26.0,3,123.0,1.0,189.69,3
166.99,1,21,2,18.0,3,134.0,1.0,299.93,5
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,0
555.8,0,2,1,19.0,3,158.0,1.0,1131.26,3
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,1
18.68,0,0,1,59.0,2,106.0,1.0,7948.37,2
71.48,0,8,2,18.0,3,169.0,1.0,6568.59,3
59.32,1,20,1,71.0,2,38.0,1.0,5750.89,2
85.77,1,19,1,38.0,0,93.0,1.0,9146.19,6
52.2,1,1,2,39.0,1,120.0,1.0,8974.93,2
345.84,1,13,2,22.0,3,142.0,3.0,1402.5,3
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,5
7.49,0,15,2,65.0,2,276.0,1.0,3634.67,1
246.93,1,24,0,23.0,3,158.0,5.0,673.35,5
40.32,1,25,1,37.0,1,95.0,1.0,2686.52,4
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,1
56.17,1,11,1,27.0,3,283.0,1.0,1351.69,3
28.31,0,24,2,59.0,0,20.0,1.0,8334.47,6
59.12,1,3,0,29.0,0,257.0,1.0,9823.64,1
396.45,1,27,0,49.0,1,168.0,3.0,9690.15,0
877.81,1,20,2,22.0,3,150.0,1.0,399.0,3
255.26,0,37,1,45.0,0,50.0,1.0,14815.87,6
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,4
78.13,1,25,1,26.0,3,145.0,1.0,900.61,5
649.28,1,38,0,75.0,2,137.0,1.0,4875.86,0
795.31,1,23,0,66.0,0,90.0,2.0,7914.88,0
335.63,1,28,2,55.0,2,216.0,1.0,1019.39,4
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,0
34.02,1,30,2,38.0,0,19.0,1.0,14214.48,6
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,6
55.32,1,40,0,19.0,3,117.0,1.0,241.79,5
304.31,1,21,1,27.0,3,33.0,1.0,868.61,5
435.27,1,6,1,74.0,2,90.0,1.0,4673.28,2
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,3
510.24,1,28,2,19.0,3,105.0,1.0,781.7,5
626.9,1,10,2,26.0,3,138.0,1.0,265.51,3
22.01,0,34,2,41.0,1,175.0,1.0,1335.09,4
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,2
424.56,1,29,2,51.0,1,264.0,1.0,5183.85,1
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,6
169.5,1,36,1,28.0,3,142.0,1.0,918.88,5
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,0
316.95,1,23,1,25.0,3,83.0,1.0,1324.03,5
60.54,0,8,1,57.0,2,52.0,1.0,3534.93,2
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,2
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,2
112.07,1,18,1,23.0,3,51.0,1.0,930.3,3
568.52,1,16,0,46.0,1,152.0,1.0,5499.91,0
263.99,1,9,1,79.0,2,227.0,2.0,4175.02,1
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,1
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,4
5.77,1,5,2,50.0,0,124.0,1.0,13988.12,6
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,1
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,1
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,3
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,2
189.12,0,16,3,32.0,1,103.0,1.0,977.01,2
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,1
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,2
24.77,1,4,0,62.0,2,55.0,1.0,5866.01,0
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,1
1212.51,1,16,1,20.0,3,24.0,1.0,605.95,3
232.12,1,43,0,37.0,1,51.0,1.0,6689.87,0
,1,18,2,22.0,3,113.0,1.0,634.17,3
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,6
120.29,1,24,1,19.0,3,77.0,1.0,1362.39,5
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,6
183.71,1,10,0,38.0,1,102.0,1.0,552.52,0
345.39,0,31,3,58.0,1,80.0,1.0,6451.96,4
922.55,1,11,0,63.0,2,87.0,1.0,4715.84,0
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,2
154.71,1,36,2,34.0,0,157.0,1.0,1523.72,4
1340.19,0,2,2,54.0,1,30.0,1.0,8654.28,2
24.56,1,23,1,64.0,0,69.0,1.0,9869.93,6
568.07,2,42,0,48.0,0,115.0,1.0,10556.81,6
9.61,0,36,2,58.0,0,179.0,1.0,12883.91,6
392.96,1,18,2,24.0,3,100.0,1.0,791.65,3
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,4
223.85,1,18,0,53.0,1,55.0,4.0,2929.91,0
230.66,1,15,1,21.0,3,135.0,1.0,618.05,3
442.12,1,20,2,19.0,3,260.0,1.0,1375.8,3
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,0
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,6
858.63,0,37,1,27.0,3,185.0,1.0,1872.96,5
25.36,1,21,0,57.0,1,78.0,1.0,201.04,0
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,2
115.02,1,35,1,37.0,0,175.0,1.0,7643.66,1
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,6
98.54,0,12,2,20.0,3,167.0,1.0,9383.43,3
83.24,2,13,1,55.0,0,164.0,1.0,1181.31,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,6
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,1
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,2
114.98,1,39,2,59.0,2,80.0,1.0,6144.68,4
756.59,1,34,1,27.0,3,17.0,1.0,420.65,5
503.76,1,20,2,22.0,3,35.0,1.0,447.82,3
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,0
1045.22,1,8,0,53.0,2,73.0,1.0,1829.9,0
245.54,2,27,0,25.0,3,180.0,1.0,985.06,5
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,2
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,1
327.86,1,14,2,40.0,1,104.0,1.0,480.16,2
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,6
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,6
56.98,0,28,0,43.0,1,122.0,2.0,5688.37,0
407.65,1,4,2,26.0,1,62.0,1.0,8346.64,2
115.83,1,14,1,39.0,1,167.0,1.0,6481.04,1
53.57,1,15,0,69.0,2,121.0,1.0,1651.33,0
